Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_text,job_state,company_age,python,cloud,rstudio,sql,pytorch,tensorflow,spark,job_simple,seniority
Staff Data Scientist,$105K-$168K (Glassdoor est.),"We are a company of passionate individuals striving to improve healthcare and patient experiences. Our evidence-based medical content and software tools empower both payers and providers to make the best decisions for patients. Our work makes a difference in the quality of care that hundreds of thousands of patients receive each day and we're proud of our positive impact.

MCG Health's Data Science Solutions Team is responsible for building, delivering, evolving and operating the company's Data Science Solutions. These solutions empower doctors, nurses and patients to make the best decisions for health outcomes and quality of life factors valued by patients. The primary purpose of the Senior Data Scientist is to provide thought leadership and pragmatic technical leadership to the Data Science Solutions group and their use of AI, Data Science, Machine Learning and Natural Language Processing Technologies.

In this role you will:
Collaborate with business, product, technical stakeholders and team members to deliver innovative solutions that improve the efficiency and effectiveness of healthcare delivery
Be an expert on problems that matter to MCG's markets / clients, and propose approaches to leverage data, AI / ML / NLP / DS technologies and MCG's assets to address these problems
Contribute to establishing a team environment of collaboration, excellence and innovation
Provide thought leadership regarding the continually advancing state of the art of readily available AI technologies and cloud-based services that are relevant to MCG products and solutions
Contribute to establishment and evolution of methodologies for development and maintenance of data science models, to ensure effective usage and rapid, continuous improvement
Contribute to technology choices (build, buy, use open source) to support rapid experimentation and development of data models that can be readily transitioned to production
Collaborate with DSS and/or MCG software engineering leadership to deploy platforms to support data ingestion from internal and external sources, and to deploy platforms to support continuous transformation of successful models into production usage
Partner with MCG technical leadership team to ensure compliance with security, privacy (HIPAA), regulatory and other obligations
Represent MCG's Data Science Solutions group, products and technologies to business and technical stakeholders at client companies and industry groups / associations
We'd love to hear from you if:
You have a minimum 5 years experience working with AI technologies
You have demonstrated experience building one or both of: Predictive / classification models using Machine Learning techniques, NLP systems using Deep Learning, or other techniques
You have demonstrated experience delivering successful ML and/or NLP solutions to the marketplace is required.
You have demonstrated experience working with software engineers to design and deliver Data Science platforms and tooling for use by a Data Science team is required; this may include creating such a platform from the ground up or successful configuration / deployment / usage of third-party platforms augmented by internally built tooling as needed
You have demonstrated experience with cloud-based data science services
You have demonstrated experience mentoring and providing technical leadership for data science model experimentation, and ongoing enhancement / evolution of solutions
You have demonstrated the ability to think ""outside the box"" and identify business problems appropriate to usage of AI / ML / NLP / DS techniques is required
You have demonstrated proficiency with lean system development practices successfully applied to deliver business value at sustainable velocity
We embrace diversity and equal opportunity, and are committed to building a team that represents a variety of backgrounds, perspectives, and skills. It is only with diverse thoughts and ideas that we'll be able to create the change we want in healthcare. The more inclusive we are, the better our work will be for it.",4.7,"MCG Health
4.7",Remote,-1,201 to 500 Employees,1988,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,105,168,136.5,MCG Health,remote,32,0,1,0,0,0,0,0,data scientist,senior
"Data Scientist, Analytics - Messaging Search",$105K-$168K (Glassdoor est.),"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Every day over 1B people use a Facebook Messaging product to communicate with their friends, family, and the world around them. On the Messaging App Experiences team, our mission is to enrich communication for people by building fun and intuitive messaging experiences enhanced by advanced Machine Learning modeling. As we build towards a world-class messaging product, heavily investing into the core product foundations is critical to our success. For messaging, this means showing the right contact when people want to send a message and ensuring notifications are delivered quickly and reliably every time. As we build towards the future, our team will explore new formats and conversation starters that keep evolving the messaging ecosystem. Within the App Experiences team, the Search & Graph team owns the core search surfaces and the development of a user's graph overtime. We are looking for an experienced DS who can help us create frameworks for understanding performance and opportunities within the Search product. Additionally, as we move into the next phase for Messaging products at Facebook, we need a Data Scientist who can own driving deeper understanding and lead development of our next-stage Search product strategy. Ideally, we are looking for someone whose strength is product analytics but also isn't afraid to dive into Machine Learning models and engage in discussions with the Ranking/Machine Learning Engineers on the team.
Work independently to design, prototype, and implement complex analyses that will drive impactful product decisions
Partner with engineering, product management and research teams to bring relevant data to produce decision making
Define metrics that align with and describe the product vision, and metrics frameworks that enable deep understanding of the levers
Use technologies such as Hive, Python, R, SQL to create deep scalable and repeatable insights that will empower the team while informing roadmap and team priorities
Effectively communicate results and insights to the product team and company leadership
Degree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research)
5+ years of scripting experience with one of these languages (Python, R)
5+ years of SQL experience
Experience initiating and driving projects to completion with minimal guidance
Experience designing and evaluating experiments/AB testing
Experience in network based consumer products
Expertise in experimentation
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.5,"Facebook
4.5","Menlo Park, CA",-1,10000+ Employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),-1,105,168,136.5,Facebook,CA,16,1,0,0,1,0,0,0,data scientist,na
Data Scientist Technical Lead,$105K-$168K (Glassdoor est.),"Note: By applying to this position your application is automatically submitted to the following locations: New York, NY, USA; Mountain View, CA, USA; Seattle, WA, USA

Minimum qualifications:
Master's degree in a quantitative discipline (e.g., Statistics, Bioinformatics, Economics) or equivalent practical experience.
10 years of experience in data analysis or related field as a Statistician, Data Scientist, Computational Biologist, or bioinformatician.
5 years of experience in people management or leadership.
Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages.
Preferred qualifications:
Doctorate's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering).
12 years of tech industry work experience as a statistician, bioinformatician, or data scientist. Experience in statistical data analysis, such as linear models, multivariate analysis, stochastic models, and sampling methods.
8 years of leadership experience, including people management.
Applied experience with machine learning on large datasets.
Experience articulating business questions and using mathematical techniques to arrive at an answer using available data.
Ability to select the right statistical tools given a data analysis problem.
About the job


At Google, data drives all of our decision-making. Data Scientists work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical excellence and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As a Technical Lead, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution.

With your leadership and professional expertise, you manage a team of analysts, plan project goals and lead the overall strategy for your group. You are a recognized authority in your functional area and develop, organize and launch projects that span engineering and analysis.
Responsibilities
Work with large datasets and solve difficult analysis problems, applying advanced analytical methods. Conduct end-to-end analyses, including data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of Google data structures and metrics, advocating for changes for product development and sales activity.
Make business recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analyses and forecasting and optimization methods across ads quality, search quality, end-user behavioral modeling, and live experiments.
Manage a data science team. Interact cross-functionally with a wide variety of leaders and teams, and work closely with Engineers and Product Managers to identify opportunities for design and to assess improvements for Google products.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.5,"Google
4.5","New York, NY",-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,105,168,136.5,Google,NY,22,1,0,0,0,0,0,0,data scientist,senior
Data Scientist,$105K-$168K (Glassdoor est.),"Title
Data Scientist

Job type
Full time

Location(s)
Sterling, VA

Purpose
Full time position with an Award winning Technology Solutions Provider in Government space, looking to expand team for a Large Government project. Offering Great pay with benefits that are second to none..

Requirements:
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modeling, machine learning modeling, and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modeling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision-makers.
Provide informational briefings to explain methodologies and analytical findings to peers and customer stakeholders.
Investigate and implement new scientific analysis and methodologies to support big data analytics efforts and implement workflows, data models, indexes, and templates and facilitate data movement on all associated systems and networks.
Provide architecture analysis and design implementation with detailed technology roadmaps and transition planning and master plans as required.
Finds and recommends new uses for existing data sources; designs modify, and builds new data processes; and builds large, complex data sets.
Required Qualifications:
6-8 years of experience with programming languages (such as Python, R, Java, Ruby, Spark, or SQL) and statistical analytics (such as SAS, Matlab, R)
3 to 5 years of experience with machine learning and deep learning modeling (with packages such as TensorFlow, Keras, PyTorch etc.
Experience in analysis, processing, tagging, and indexing unstructured, semi-structured, and structured classified and unclassified data sets.
Experience developing research designs, including formulating testable questions, identifying and defining key concepts and variables, and matching appropriate methods to problems.
Experience in data management, including cleaning and preparing data, and creating, structuring, and maintaining data sets.
Experience with incorporating data science capability into Stakeholder strategy.
Experience bridging data science strategy between leadership, IT, data scientists and other stakeholders.
Good understanding of Databases, SQL, Hadoop, Hive and/or MapReduce.
Alternatively please apply through our website at www.skilled-hire.com/career to be considered for this position.",5.0,"Skilled Hire LLC
5.0","Sterling, VA",-1,1 to 50 Employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,105,168,136.5,Skilled Hire LLC,VA,1,1,0,0,1,1,1,1,data scientist,na
Senior Data Scientist - Member Experience,$105K-$168K (Glassdoor est.),"#TeamNextdoor


Nextdoor is the neighborhood hub for you, your neighbors, and the broader local community. Nextdoor's purpose is to cultivate a kinder world where everyone has a neighborhood they can rely on.

Real-world connections are a universal human need and neighborhoods are one of the most important contexts in which we form them. This is a guiding principle for Nextdoor. Today, neighbors rely on Nextdoor in neighborhoods around the world in the United States, the United Kingdom, Germany, France, the Netherlands, Italy, Spain, Sweden, Denmark, Australia and Canada, with many more to come.

Meet your Future Neighbors


The Data Science team at Nextdoor is part of the Data org, which also includes Business Intelligence and Data Engineering. At a high level, the Data org is responsible for the building and maintenance of data infrastructure as well as the use of that infrastructure for internal reporting, analysis, and modeling. Data Science at Nextdoor is responsible for design and oversight of product experiments, analysis and modeling to drive company and product strategy, and, where applicable, the deployment of online and offline models to a production environment. We use a semi-embedded team structure, in which a group of data team members works on a specific product or pillar, interfacing directly with product and engineering stakeholders. The Data Science group is made up of people from a diverse set of backgrounds and perspectives, trained in fields as wide-ranging as psychology, geology, physics, and statistics. Data Scientists at Nextdoor serve as the mathematical decision scientists for their product group and play an active and collaborative role in improving the product.

The Impact You'll Make

On the Member Experience pillar, Data Scientists have the opportunity to work across a wide range of problem areas, including analysis of real-time feed ranking, design and oversight of experiments covering new product experiences, statistical modeling of network effects, the development and deployment of member segmentation models, and the study and modeling of the member journey. The work is essential to the growth and success of the company and involves frequent opportunities to deploy code as well as showcase progress to teammates, stakeholders, and company leadership.

Requirements
Advanced degree in a quantitative field and 2+ years work experience in data science or machine learning, or equivalent
Excellent knowledge of Python, including common scientific computing packages and data science tools such as numpy, pandas, and scikit-learn
Deep expertise with methods, tools, and packages for statistical modeling and machine learning
Advanced knowledge of SQL
Intermediate knowledge of at least one big data technology such as Hive, Presto, or Spark
Basic knowledge of web applications and service-oriented architecture
Excellent written and oral communication, including ability to effectively communicate complexity to a diverse group of stakeholders
Curiosity about how things work, from both a business and technical perspective
A collaborative spirit, a love for the work, and a commitment to community
Bonus Points
Work experience related to social or community-based products
Expertise deploying models to production
Expertise in testing and evaluating the impact of network effects
At Nextdoor, we empower our employees to build stronger local communities. To create a platform where all feel welcome, we want our workforce to reflect the diversity of the customers we seek to serve. We encourage everyone interested in our purpose to apply. We do not discriminate on the basis of race, gender, religion, sexual orientation, age, or any other trait that unfairly targets a group of people. In accordance with the San Francisco Fair Chance Ordinance, we always consider qualified applicants with arrest and conviction records.",4.4,"Nextdoor
4.4","San Francisco, CA",-1,201 to 500 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,105,168,136.5,Nextdoor,CA,10,1,0,0,1,0,0,1,data scientist,senior
Supply Chain Data Scientist,$105K-$168K (Glassdoor est.),"DO WORK THAT MATTERS

At Abbott, diverse ideas, perspectives, and
expertise allow us to create life-changing solutions that help people live
healthier lives. In 150 countries and with businesses spanning nutrition,
diagnostics, medical devices, and branded generic pharmaceuticals, Abbott
offers you enormous opportunities to explore your interests and help you
achieve your career and personal goals.

Abbott Rapid Diagnostics is part of Abbotts
Diagnostics family of businesses, bringing together exceptional teams of
experts and industry leading technologies to support diagnostic testing which
provides important information for treatment and management of diseases and
other conditions.

Reporting to the Senior
Manager, Global Planning and Data Analytics, this Supply Chain Data
Scientist will have high visibility and opportunities for collaboration
with leadership and cross-functional teams around the world under the Infectious
Diseases Developed Markets business unit under Abbott Rapid Diagnostics. It will
be a key contributor to business units data analytics maturity roadmap to
enable automation and insight generations across all supply chain planning function
for the business unit. Working under general supervision, Supply Chain Data
Scientist will develop the next generation of business analytics that will
transform the Business Intelligence experience to executives and a large group
of internal cross-functional key stakeholders.

We support a rapidly
expanding business unit within Abbott. We liaise with Manufacturing operations in
US, Korea, China amongst many other external Global Suppliers. We serve and
support a global customer base and provide essential testing solution including
rapid COVID-19 tests (ID NOW, BinaxNow, Pnbio, etc.). Our primary ERP systems are
SAP and Fourth Shift.

This role is to be
based in one of the Abbott Rapid Diagnostics headquarters located in Lake
Forest, IL, USA.

Responsibilities and
Duties
Design, deploy and
automate supply chain reporting and BI tools
Develop business
intelligence improvement processes and roadmap
Collaborate with Supply
Chain Data Analyst and other internal team members to develop/upgrade tools to
analyse current & projected performance and outline data driven opportunities
for performance improvement.
Streamline data acquisition
and transformation processes
Develop predictive models
to project demand, supply, inventory and distribution plans.
Identify and recommend
constraints against order fulfilment and revenue specifying constraints that
need to be addressed.
Develop automated reporting
capability that provides real time performance insights.
Collaborate with IT,
Finance, Commercial and Supply Chain to build solutions that supports all Business
analysis requirements from a standard data set.
Outline process enhancements
and transformations across the Supply Chain functions based on the insights
created.
Actively prepare and
participate in monthly S&OP (Sales and Operations Planning) review.
The role will evolve to
leading and building organizational capability through identifying and
developing additional analytical resources through intern and graduate programs,
leveraging across Abbott Business Units.
BASIC
QUALIFICATIONS | EDUCATION:
3+ years of data analyst
or data scientist experience.
Highly skilled in Power
BI, PowerQuery, Tableau, Alteryx and/or one of the following programming
languages - SQL, R, Python, C, VB, etc..
Experience of supply
chain in medical device industry is an advantage.
Bachelors Degree in Supply
Chain, Engineering, Business, Computer Science, Maths or Data Science.
Ability to travel globally
as required (with advance planning)
A strong track record
of collaborating with and influencing multifunctional, globally dispersed teams, with
a project environment preferred.
Experience of presenting
to Global Executive teams.
Proficiency with project management
methodologies and techniques preferred.
Demonstrated organizational and leadership
skills necessary required to lead process changes.
An equal opportunity employer,
Abbott welcomes and encourages diversity in our workforce.

We provide reasonable accommodation to
qualified individuals with disabilities.",3.7,"Abbott Laboratories
3.7","Waukegan, IL",-1,10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,105,168,136.5,Abbott Laboratories,IL,132,1,0,0,1,0,0,0,data scientist,na
Data Analyst/Scientist,$105K-$168K (Glassdoor est.),"Basic Qualifications


Bachelor's degree in Engineering, Computer Science, Statistics, Applied Math or related technical field is required plus a minimum of 5 years relevant experience or Master’s degree plus a minimum of 3 years of relevant experience.

Clearance Requirements:
An active Top Secret security clearance is required at time of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.

Responsibilities for this Position


You will be supporting the DoD Cyber Crime Center (DC3) and Air Force Office of Special Investigations.

Data Analyst supporting Air Force Office of Special Investigations (AFOSI) Quantico location. You will be working with the Enterprise Resource Directorate to join the new Data Analytics Team. You will be responsible to start the analysis of current data holdings, document data systems in terms of capabilities and gaps, and then begin to provide analytical products to our customers based on that data.

Functional Responsibilities.
Mine data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine.
Use statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for mission managers.
Demonstrate the significance of the analysis in the context of local, national, and global law enforcement trends that impact OSI.
Prepare reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data.
Collaborate with programmers, engineers, and organizational leaders to identify opportunities for process improvements, recommend system modifications, and develop policies for data governance.
Create appropriate documentation that allows stakeholders to understand the steps of the data analysis process and duplicate or replicate the analysis if necessary.
Required Skills:
Demonstrated experience with data science, performing design/engineering/mining/visualization.
Demonstrated experience with descriptive and predictive analysis.
Demonstrated experience with data analysis/visualization tools.
Demonstrated experience developing, standardizing, and documenting processes and policies.
Demonstrated experience developing and standardizing processes, tools, templates, graphics/illustrations, and metrics.
Ability to learn local, national and global law enforcement trends and impact to OSI.
Strong and demonstrated analytical and problem solving skills.
Superior verbal and written communication skills with attention to detail and ability to executive with limited direction.
Desired Skills:
Experience collaborating with programmers and engineers.
Experience supporting a LE/CI mission.
Experience creating process and standards on a new team and/or initiative.
Suggested Qualifications: 13 years of professional experience without a degree; or 5 years of professional experience with a Bachelors degree from an accredited college in a related discipline, or equivalent experience/combined education; or 3 years of professional experience with a related Masters degree; or no experience required with a related PhD or JD.

#CJ3",3.6,"General Dynamics Mission Systems
3.6","Quantico, VA",-1,10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,105,168,136.5,General Dynamics Mission Systems,VA,68,0,0,0,0,0,0,0,data scientist,na
Data Scientist,$105K-$168K (Glassdoor est.),"Data Scientist

30-Oct-2020

Job Description

Work within a cross-functional team to deliver predictive analytics solutions to drive customer engagement and next-best-action. Improve customer experience across critical medical phases. Extract and manipulate data from multiple, large data sources to deliver predictive models and solutions to drive member behavior change and experience across multiple channels (mobile app, web, email, social, call center, Apple). Develop advanced algorithms and statistical predictive models. Determine analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes. Uses strong programming skills to explore, analyze and interpret large volumes of data in various forms, and solve complex business problems. Support deployment of insights across multiple channels, i.e., web, mobile app, email, social, call center, Apple watch. Communicate technical concepts to peers, managers, and business partners.

Req#
73007BR

Job Group
Data & Analytics

Full or Part Time
Full Time

Supervisory Responsibilities
No

Percent of Travel Required
N/A

Posting Job Title
Data Scientist

Potential Telework Position
No

Additional Locations
NY-New York

Primary Location (City, State)
NY-New York

EEO Statement
Aetna is an Equal Opportunity, Affirmative Action Employer

Resource Group
2

Background Experience

Requirements

Master’s degree in Statistics, Data Science or an Engineering related field.

Minimum 1 year of experience developing, implementing and maintaining ETL pipelines for large data sets through various sources of big data. Must have experience: developing, implementing and maintaining supervised and unsupervised predictive models and machine learning algorithms such as Xgboost and Neural Networks; performing statistical analysis, experiment design and hypothesis testing through A/B testing, power analysis and propensity score matching; and developing, implementing and maintaining predictive machine learning and deep learning models for behavioral change prediction through various mediums of structures and unstructured big data. Must have experience with Python, SQL or Java; as well as Spark and Hadoop, Map-Reduce and Agile.

Benefits Program
Benefit eligibility may vary by position.

Candidate Privacy Information
Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.

Clinical Licensure Required
N/A",3.5,"Aetna
3.5","New York, NY",-1,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,105,168,136.5,Aetna,NY,167,1,0,0,1,0,0,1,data scientist,na
Enterprise Data Scientist,$105K-$168K (Glassdoor est.),"Title
Enterprise Data Scientist
Division Arvest
Category Information Technology
Location 326 SW A St.
Location AR, Bentonville
Full-Time/Part-Time Full-Time
Exempt/Non-Exempt Exempt
Grade 19 Information Technology
Accepting applications through November 18, 2020
Details Position is Monday through Friday 8 am to 5 pm with the ability to work additional hours as needed.
Preferred Qualifications See Below.
Description

SUMMARY: An experienced data scientist designing and developing advanced analytical and statistical algorithms to drive business outcomes and customer experience.

ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
Directs the gathering of data; assesses data validity and usability, synthesizes data into large analytics datasets to support company goals.
Utilizes advanced data analytics and data mining techniques to analyze data; reviews data results to ensure accuracy; and communicates results and insights to executive leadership.
Utilizes proven techniques to analyze user/customer behavior and usage patterns to identify opportunities to transform our digital customer experience, loyalty, and acquisition.
Designs various mathematical, statistical, and simulation techniques to answer critical business questions and create predictive solutions which drive improvement in business outcomes.
Drives analytics and insights across Arvest by developing advanced statistical models and computational algorithms based on business initiatives.
Codes, tests and maintains scientific models and algorithms; identifies trends, patterns, and discrepancies in data; and determines additional data needed to support insight.
Presents recommendations to business partners and influences future business plans based on insights using excellent communication, presentation and visualization capabilities.
Provides peer review and mentoring to other decision scientists.
Trains team members in statistical models and guides junior colleagues or less experienced staff on projects.
Supports an enterprise-wide mission by identifying and applying best practices in field of advanced analytics (statistics, operations research, etc.) to multiple Arvest business units.
Understand and comply with bank policy, laws, regulations, and the bank's BSA/AML Program, as applicable to your job duties. This includes but is not limited to; complete compliance training and adhere to internal procedures and controls; report any known violations of compliance policy, laws, or regulations and report any suspicious customer and/or account activity.
TEAM ACCOUNTABILITIES:
Support and uphold the Arvest Mission Statement.
Uphold the Arvest Code of Ethics and ensure that confidential information is safeguarded.
Maintain a high level of cooperation and rapport with all associates in order to ensure accurate and efficient operations and service.
Formulate and communicate new ideas and suggestions that will improve profitability and efficiency for the company’s overall operation.
Promote professionalism at all times.

Position Requirements

QUALIFICATION REQUIREMENTS:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

EDUCATION and/or EXPERIENCE:
Bachelor’s Degree in Statistics, Operations Research, or in a related field of study or equivalent relevant work experience required.
5 years of combined experience in statistical programming language; structured query language and relational databases required.
3 years analyzing customer data leveraging a full range of statistical analysis including multivariate analysis (e.g., factor analysis, cluster analysis, discriminate analysis) required.
2 years data modeling, ETL, data cleansing, data integration, data mining, statistical, analytical, and visualization tools/techniques required.
2 years informational intensive industries experience required.
OTHER SKILLS AND ABILITIES:
Must be able to arrive at work on time, work on site and have regular work attendance
Must be able to work cooperatively with other co-workers regardless of personality, presence or communication style
Must be able to provide cordial customer service regardless of customer personality, presence or communication style
Must be able to perform several tasks at once
Must be able to work in a stressful atmosphere
Must be able to rotate job tasks
Must be able to greet others cordially
Must be able to coordinate multiple and changing priorities
Must be able to verbally communicate with all other associates
Must be able to operate telephone, scanner, copier and FAX machines
Must be able to occasionally work outside of normal business hours.
Must be able to move from department, division, or bank to department, division, or bank to attend meetings
Must be able to operate personal computer keyboard in order to create reports, schedules and other appropriate documentation
Is able to move seamlessly between the business and IT, understanding insights data can provide to the business as well as changes in the business that might change how we interpret data.
Serves as a leading participant in regional decision science forums, bringing new techniques and best practices into the organization and disseminating them to appropriate colleagues.
Collaborates with business and technology leaders to gain understanding of relevant business practices, data and definitions.
Assists in stakeholder coaching and mentoring related to decision sciences, predictive analytics, and utilizing data to test and measure assumptions and scenarios to achieve results.
PHYSICAL DEMANDS:

The physical demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

While performing the duties of this job, the associate is regularly required to stand, walk, sit, and to talk and hear. The associate must occasionally reach with hands and arms; stoop, kneel, or crouch.

The associate may occasionally be required to lift or move up to 25 pounds.

Specific vision abilities required by this job include close, distance and color vision and the ability to adjust focus.

WORK ENVIRONMENT:

The work environment characteristics described here are representative of those an associate encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

The noise level in the work environment is usually moderate.

About the Organization Arvest Bank is a provider of financial services, our #1 focus is our customers. We are people helping people find financial solutions for life. That is our culture - that is who we are as an organization.

As an employer, our #1 focus is our associates. We offer competitive compensation, comprehensive benefits and an engaging work environment driven by the desire to serve our customers and communities.

With over 315 locations in Arkansas, Oklahoma, Missouri and Kansas, we offer a variety of jobs. Whether you are looking for full-time or part-time employment, Arvest has the opportunity for you.

Arvest is an affirmative action/equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, age, sex, sexual orientation, gender identity, national origin, religion, disability status, protected veteran status or any other characteristic protected by law.

EOE Statement We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, marital status, sex, sexual orientation, gender identity, pregnancy, age, national origin, disability, veteran status, or any other basis, which now or in the future may be specified by law.

This position is currently accepting applications.",4.0,"Arvest Holdings
4.0","Bentonville, AR",-1,1001 to 5000 Employees,1999,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1,105,168,136.5,Arvest Holdings,AR,21,0,1,0,0,0,0,0,data scientist,na
Staff Data Scientist,$105K-$168K (Glassdoor est.),"Overview

Intuit is looking for innovative and hands-on Staff Data scientist to join the Intuit AI team.This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security, and enhance customer care. We aim to save our customers time (""Never enter data""), increase their prosperity by making actionable financial recommendations, and enable them to have complete confidence in our products

What you'll bring
4+ years of industry experience with data science
BS, MS or PhD in Statistics, Mathematics, Computer Science, Economics, Operations Research, or equivalent
4+ years of hands-on expertise with data mining and statistical modeling techniques such as clustering, classification, regression, tree-based methods, neural nets, support vector machines, anomaly detection, and natural language processing
Expertise in modern advanced analytical tools and programming languages such as Python, Scala, Java and/or R.
Efficient in SQL, Hive, SparkSQL, etc.
Comfortable working in a Linux environment
Experience with building end-to-end reusable pipelines from data acquisition to model output delivery
Quick learner, adaptable, with the ability to work independently in a fast-paced environment
Strong oral and written communication skills. Ability to conduct meetings and make professional presentations, and to explain complex concepts and technical material to non-technical users
community
How you will lead

Excellent leadership and communication skills to influence teams and to evangelize data science across the organization
Perform hands-on data analysis and modeling with huge data sets
Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms
Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products
Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL
Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat
Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders
Explore new design or technology shifts in order to determine how they might connect with the customer benefits we wish to deliver
Communicate key analytic findings within the business and to senior stakeholders
Research, explore, and enable new quantitative techniques and technologies in data science",4.3,"Intuit - Data
4.3","Mountain View, CA",-1,5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),-1,105,168,136.5,Intuit - Data,CA,37,1,0,0,1,0,0,1,data scientist,senior
